,,,,,Games,,Passing,,,,,Rushing,,,,Receiving,,,,,Fumbles,,Scoring,,,Fantasy,,,,,,,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
66,Dalton Schultz,HOU,TE,27,5,1,0,0,0,0,0,0,0,,0,27,17,154,9.06,2,0,0,2,,,27,44.4,47.4,35.9,3,9,66,SchuDa00
67,Khalil Herbert,CHI,RB,25,5,5,0,0,0,0,0,51,272,5.33,0,18,10,83,8.30,1,1,1,1,1,,42,51.5,55.5,46.5,3,22,67,HerbKh00
68,Dallas Goedert,PHI,TE,28,5,5,0,0,0,0,0,0,0,,0,28,21,205,9.76,1,0,0,1,,,27,47.5,50.5,37.0,2,10,68,GoedDa00
69,DeVonta Smith,PHI,WR,25,5,5,0,0,0,0,0,0,0,,0,34,23,290,12.61,2,0,0,2,,,41,64.0,67.0,52.5,2,26,69,SmitDe07
70,Evan Engram,JAX,TE,29,5,5,0,0,0,0,0,0,0,,0,37,29,260,8.97,0,1,0,0,,,26,55.0,58.0,40.5,2,11,70,EngrEv00
71,Romeo Doubs,GNB,WR,23,5,4,0,0,0,0,0,0,0,,0,37,21,228,10.86,3,0,0,3,,,41,61.8,64.8,51.3,2,27,71,DoubRo00
72,Christian Kirk,JAX,WR,27,5,5,1,1,-1,0,0,1,6,6.00,0,43,30,335,11.17,1,0,0,1,,,40,70.1,73.1,55.1,1,28,72,KirkCh01
73,Garrett Wilson,NYJ,WR,23,5,5,0,0,0,0,0,0,0,,0,43,24,279,11.63,2,0,0,2,,,40,63.9,66.9,51.9,1,29,73,WilsGa00
74,Dameon Pierce,HOU,RB,23,5,5,0,0,0,0,0,84,247,2.94,1,12,9,84,9.33,0,0,0,1,,,39,48.1,51.1,43.6,,23,74,PierDa01
75,Darren Waller,NYG,TE,31,5,5,0,0,0,0,0,0,0,,0,34,23,239,10.39,0,0,0,0,,,24,46.9,49.9,35.4,,12,75,WallDa01
76,D.K. Metcalf,SEA,WR,26,4,4,0,0,0,0,0,0,0,,0,23,18,268,14.89,2,0,0,2,,,39,56.8,59.8,47.8,,30,76,MetcDK00
77,Alex Armah,WAS,,29,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,1,77,ArmaAl00
78,Jordan Love,GNB,QB,25,5,5,90,162,1083,8,6,18,109,6.06,2,0,0,0,,0,2,0,2,,2,90,90.2,102.2,96.2,,12,78,LoveJo03
79,C.J. Stroud,HOU,QB,22,5,5,114,186,1461,7,0,15,53,3.53,0,1,1,0,0.00,0,3,2,0,,,88,88.7,93.7,88.2,,13,,StroCJ00
80,Sam Howell,WAS,QB,23,5,5,131,191,1349,6,6,15,101,6.73,1,0,0,0,,0,2,1,1,1,,82,82.1,95.1,88.1,,14,,HoweSa00
81,Joshua Dobbs,ARI,QB,28,5,5,102,155,980,6,2,27,142,5.26,1,0,0,0,,0,5,3,1,1,,75,75.4,86.4,77.4,,15,,DobbJo00
82,Trevor Lawrence,JAX,QB,24,5,5,121,180,1258,5,2,30,132,4.40,0,0,0,0,,0,6,3,0,,,74,73.5,84.5,75.5,,16,,LawrTr00
83,Anthony Richardson,IND,QB,21,4,4,50,84,577,3,1,25,136,5.44,4,0,0,0,,0,3,1,4,,2,73,72.7,80.7,73.7,,18,,RichAn03
84,Matthew Stafford,LAR,QB,35,5,5,124,203,1451,5,5,10,49,4.90,0,0,0,0,,0,0,0,0,,,73,72.9,80.9,77.9,,17,,StafMa00
85,Desmond Ridder,ATL,QB,24,5,5,102,156,1073,4,3,18,57,3.17,2,1,1,-6,-6.00,0,3,2,2,,1,68,69.0,77.0,71.5,,19,,RiddDe00
86,Baker Mayfield,TAM,QB,28,4,4,87,125,882,7,2,23,61,2.65,0,0,0,0,,0,1,0,0,,1,67,67.4,72.4,69.4,,20,,MayfBa00
87,Dak Prescott,DAL,QB,30,5,5,111,160,1061,5,4,12,45,3.75,0,0,0,0,,0,0,0,0,,,59,58.9,65.9,62.9,,21,,PresDa01
88,Geno Smith,SEA,QB,33,4,4,84,123,846,5,1,8,22,2.75,0,1,1,-2,-2.00,0,0,0,0,,1,56,56.8,60.8,57.3,,22,,SmitGe00
89,Joe Burrow,CIN,QB,27,5,5,123,197,1045,5,3,12,10,0.83,0,0,0,0,,0,1,1,0,,,55,54.8,61.8,57.8,,24,,BurrJo01
90,Daniel Jones,NYG,QB,26,5,5,104,151,884,2,6,38,197,5.18,1,0,0,0,,0,4,1,1,,,55,55.1,68.1,61.1,,23,,JoneDa05
91,Kenny Pickett,PIT,QB,25,5,5,95,159,1027,5,4,16,12,0.75,0,0,0,0,,0,0,0,0,,,54,54.3,61.3,58.3,,25,,PickKe00
92,Deshaun Watson,CLE,QB,28,3,3,65,102,678,4,2,15,83,5.53,1,0,0,0,,0,4,2,1,2,,53,53.4,60.4,55.4,,26,,WatsDe00
93,Jimmy Garoppolo,LVR,QB,32,4,4,86,125,917,6,7,16,23,1.44,0,0,0,0,,0,1,0,0,,1,51,51.0,61.0,58.0,,27,,GaroJi00
94,Zach Wilson,NYJ,QB,24,5,4,91,149,911,4,5,15,83,5.53,0,0,0,0,,0,3,1,0,1,,51,50.7,59.7,55.7,,28,,WilsZa00
95,Mac Jones,NWE,QB,25,5,5,105,168,1008,5,6,15,60,4.00,0,0,0,0,,0,2,2,0,,,50,50.3,61.3,56.3,,29,,JoneMa05
96,Ryan Tannehill,TEN,QB,35,5,5,90,142,1052,2,5,12,40,3.33,1,0,0,0,,0,3,0,1,,,50,50.1,58.1,55.1,,30,,TannRy00
97,Derek Carr,NOR,QB,32,5,5,98,150,946,4,2,10,5,0.50,0,0,0,0,,0,1,1,0,,,48,48.3,54.3,50.3,,31,,CarrDe02
98,Bryce Young,CAR,QB,22,4,4,92,144,750,5,4,8,65,8.13,0,0,0,0,,0,3,2,0,,1,47,46.5,55.5,50.5,,32,,YounBr01
99,Jaleel McLaughlin,DEN,RB,23,5,0,0,0,0,0,0,22,160,7.27,1,8,7,46,6.57,2,0,0,3,,,39,45.6,48.6,42.1,,24,,McLaJa00
100,Terry McLaurin,WAS,WR,28,5,5,0,0,0,0,0,0,0,,0,31,25,261,10.44,1,0,0,2,,,38,63.1,66.1,50.6,,32,,McLaTe00
101,Chris Olave,NOR,WR,23,5,3,0,0,0,0,0,0,0,,0,43,25,318,12.72,1,0,0,1,,,38,62.8,65.8,50.3,,33,,OlavCh00
102,Michael Pittman Jr.,IND,WR,26,5,5,0,0,0,0,0,0,0,,0,46,31,297,9.58,1,1,0,1,1,,38,68.7,71.7,53.2,,34,,PittMi01
103,Curtis Samuel,WAS,WR,27,5,3,0,0,0,0,0,3,20,6.67,1,27,23,243,10.57,1,0,0,2,,,38,61.3,64.3,49.8,,31,,SamuCu00
104,Michael Wilson,ARI,WR,23,5,4,0,0,0,0,0,0,0,,0,18,15,255,17.00,2,0,0,2,,,38,52.5,55.5,45.0,,35,,WilsMi02
105,Courtland Sutton,DEN,WR,28,5,5,0,0,0,0,0,0,0,,0,31,21,229,10.90,3,2,2,3,,,37,57.9,62.9,47.4,,36,,SuttCo00
106,Tyler Allgeier,ATL,RB,23,5,1,0,0,0,0,0,62,191,3.08,2,9,6,32,5.33,0,0,0,2,1,,36,42.3,45.3,39.3,,25,,AllgTy00
107,DeAndre Hopkins,TEN,WR,31,5,5,0,0,0,0,0,0,0,,0,42,26,356,13.69,0,0,0,0,,,36,61.6,64.6,48.6,,38,,HopkDe00
108,Marvin Mims,DEN,WR,21,5,2,0,0,0,0,0,3,13,4.33,0,12,10,246,24.60,1,1,1,2,,,36,45.9,49.9,40.9,,37,,MimsMa00
109,Jayden Reed,GNB,WR,23,5,4,0,0,0,0,0,1,-2,-2.00,0,27,13,210,16.15,2,1,0,2,1,,35,47.8,50.8,41.3,,39,,ReedJa03
110,Kendrick Bourne,NWE,WR,28,5,2,0,0,0,0,0,0,0,,0,33,18,218,12.11,2,0,0,2,,,34,51.8,54.8,42.8,,40,,BourKe00
111,Rhamondre Stevenson,NWE,RB,25,5,5,0,0,0,0,0,68,188,2.76,1,18,12,87,7.25,0,0,0,1,,,34,45.5,48.5,39.5,,26,,StevRh00
112,Zay Flowers,BAL,WR,23,5,5,0,0,0,0,0,5,11,2.20,0,40,29,317,10.93,0,0,0,0,,,33,61.8,64.8,47.3,,42,,FlowZa00
113,Drake London,ATL,WR,22,5,5,1,1,22,0,0,0,0,,0,31,17,204,12.00,2,0,0,2,,,33,50.3,53.3,41.8,,41,,LondDr00
114,Rachaad White,TAM,RB,24,4,4,0,0,0,0,0,63,206,3.27,1,13,13,86,6.62,0,1,1,1,,,33,46.2,50.2,39.7,,27,,WhitRa01
115,Amari Cooper,CLE,WR,29,4,4,0,0,0,0,0,0,0,,0,31,18,259,14.39,1,0,0,1,,,32,49.9,52.9,40.9,,44,,CoopAm00
116,Gus Edwards,BAL,RB,28,5,3,0,0,0,0,0,56,241,4.30,1,3,2,1,0.50,0,0,0,1,1,,32,34.2,37.2,33.2,,28,,EdwaGu00
